season,season_start_year,season_end_year,season_week_index,season_chart_slot_index,month_index,month_name,month_number,calendar_year,month_week_slot,grade,grade_points,label_date,weather_window_start,weather_window_end,avg_weather_days_observed,avg_hours_above_freezing_sum_7d,avg_hours_above_freezing_mean_7d,avg_hours_above_freezing_max_7d,avg_hours_above_freezing_label_day,avg_temperature_mean_7d,avg_temperature_min_7d,avg_temperature_max_7d,avg_temperature_label_day,avg_humidity_mean_7d,avg_humidity_min_7d,avg_humidity_max_7d,avg_humidity_label_day,avg_snow_depth_mean_7d,avg_snow_depth_min_7d,avg_snow_depth_max_7d,avg_snow_depth_label_day,avg_wind_speed_mean_7d,avg_wind_speed_min_7d,avg_wind_speed_max_7d,avg_wind_speed_label_day,avg_rain_sum_7d,avg_rain_max_7d,avg_rain_label_day,avg_snowfall_sum_7d,avg_snowfall_max_7d,avg_snowfall_label_day
2023-24,2023,2024,3,8,2,November,11,2023,3,D,0,2023-11-18,2023-11-12,2023-11-18,7,80.0,11.428571428571429,21.75,14.75,32.39702380952381,24.321875,43.78333333333333,35.37708333333334,76.3452380952381,65.88541666666667,89.46875,89.46875,0.10127083333333332,0.026125,0.13503125,0.026125,5.46547619047619,2.2687500000000003,8.821874999999999,7.758333333333334,0.47999999999999987,0.4562499999999999,0.4562499999999999,0.264,0.139,0.139
2023-24,2023,2024,4,9,2,November,11,2023,4,D,0,2023-11-25,2023-11-19,2023-11-25,7,39.5,5.642857142857143,14.25,0.75,25.44017857142857,18.246875000000003,31.058333333333337,18.246875000000003,75.16517857142857,58.04166666666667,92.75,60.635416666666664,0.19862202380952376,0.0421666666666666,0.3183749999999999,0.30640625,7.402380952380952,4.891666666666667,9.635416666666668,6.623958333333333,0.19549999999999998,0.1625,0.0,4.632750000000001,3.87225,0.0
2023-24,2023,2024,5,11,3,December,12,2023,1,C,1,2023-12-02,2023-11-26,2023-12-02,7,61.75,8.821428571428571,18.25,18.0,27.116369047619052,16.734375,35.471875,33.75729166666667,78.97619047619047,66.89583333333333,98.59375,98.59375,0.44322023809523803,0.2920729166666667,0.51975,0.3696041666666667,7.338392857142858,3.4197916666666663,8.778125,3.4197916666666663,0.4065,0.21375,0.21375,6.86775,5.857,0.0
2023-24,2023,2024,6,12,3,December,12,2023,2,C,1,2023-12-09,2023-12-03,2023-12-09,7,47.0,6.714285714285714,16.5,13.75,23.302380952380954,11.735416666666667,32.161458333333336,32.161458333333336,88.38690476190477,79.85416666666667,99.46875,84.91666666666666,0.5641517857142857,0.2996979166666667,0.6346458333333334,0.5874895833333333,4.337202380952381,2.2666666666666666,7.184374999999999,5.842708333333333,0.121,0.059,0.0,6.4315,4.734249999999999,0.0
2023-24,2023,2024,7,13,3,December,12,2023,3,B,2,2023-12-16,2023-12-10,2023-12-16,7,57.25,8.178571428571429,20.25,13.25,27.763988095238094,16.12291666666667,39.10729166666666,31.058333333333337,84.51041666666666,76.46875,96.8125,85.85416666666667,0.6936220238095238,0.42421875,0.80375,0.6837395833333333,7.655357142857143,4.735416666666667,9.395833333333332,4.735416666666667,0.6749999999999998,0.39225,0.0,7.4174999999999995,6.607,0.0
2023-24,2023,2024,8,14,3,December,12,2023,4,D,0,2023-12-23,2023-12-17,2023-12-23,7,49.5,7.071428571428571,23.25,5.25,26.274255952380948,15.236458333333331,42.87083333333333,24.137500000000003,72.22321428571429,36.270833333333336,98.94791666666669,36.270833333333336,0.2566205357142857,0.14509375,0.6456041666666666,0.14509375,7.3480654761904765,3.2197916666666666,11.019791666666666,4.2875,2.1975,2.14125,0.0,0.13875,0.13175,0.007
2023-24,2023,2024,9,15,3,December,12,2023,5,D,0,2023-12-30,2023-12-24,2023-12-30,7,112.0,16.0,19.25,12.5,33.765625,30.268749999999997,37.182291666666664,30.268749999999997,93.66666666666666,75.70833333333333,99.73958333333331,93.92708333333334,0.0837842261904762,0.02440625,0.1536875,0.0467395833333333,3.8938988095238094,2.828125,5.13125,5.13125,0.45025,0.208,0.04975,1.14725,0.8905000000000001,0.8905000000000001
2023-24,2023,2024,10,16,4,January,1,2024,1,C,1,2024-01-06,2023-12-31,2024-01-06,7,5.25,0.75,3.0,0.0,20.043154761904763,11.726041666666667,26.604166666666668,20.292708333333337,73.95684523809523,64.5,82.52083333333333,70.73958333333334,0.09637648809523809,0.0896666666666666,0.11125,0.11125,6.3793154761904765,4.666666666666667,8.352083333333333,6.572916666666667,0.003,0.002,0.0,0.86875,0.429,0.18825
2023-24,2023,2024,11,17,4,January,1,2024,2,A,3,2024-01-13,2024-01-07,2024-01-13,7,27.0,3.857142857142857,14.5,10.75,23.48154761904762,18.109375,33.30416666666667,29.814583333333335,85.41666666666667,82.44791666666667,88.26041666666667,85.67708333333333,0.5784315476190475,0.2859895833333333,0.7423645833333333,0.7423645833333333,8.229166666666668,3.5999999999999996,13.333333333333334,13.333333333333334,0.7745,0.579,0.1925,14.943999999999997,7.262,2.0475
2023-24,2023,2024,12,18,4,January,1,2024,3,A,3,2024-01-20,2024-01-14,2024-01-20,7,0.5,0.07142857142857142,0.5,0.0,9.775297619047619,-0.7791666666666667,22.820833333333333,-0.7791666666666667,77.45833333333334,72.71875,80.38541666666667,79.59375,0.9419419642857143,0.7625104166666667,1.0644375,1.0644375,7.394196428571429,3.255208333333333,12.694791666666667,6.777083333333334,0.002,0.002,0.0,3.7744999999999997,1.90825,0.494
2023-24,2023,2024,13,19,4,January,1,2024,4,B,2,2024-01-27,2024-01-21,2024-01-27,7,36.25,5.178571428571429,17.25,9.75,21.71532738095238,2.894791666666667,33.28958333333333,29.902083333333337,86.22321428571429,74.28125,95.05208333333331,95.05208333333331,1.0916160714285714,1.0571979166666663,1.112625,1.10678125,5.994940476190477,2.0354166666666664,8.663541666666667,2.0354166666666664,0.9757499999999998,0.4649999999999999,0.003,2.9075,1.323,0.007
2023-24,2023,2024,14,21,5,February,2,2024,1,B,2,2024-02-03,2024-01-28,2024-02-03,7,21.5,3.0714285714285716,7.5,0.0,23.28824404761905,15.133333333333333,28.538541666666667,15.673958333333331,88.37202380952381,83.08333333333333,93.28125,83.08333333333333,1.0954017857142857,1.06659375,1.1258125,1.0873125,5.067708333333333,2.703125,6.876041666666667,5.494791666666667,0.012,0.007,0.0,2.0309999999999997,0.79325,0.014
2023-24,2023,2024,15,22,5,February,2,2024,2,C,1,2024-02-10,2024-02-04,2024-02-10,7,47.0,6.714285714285714,21.75,21.75,23.29360119047619,13.513541666666669,39.065625,39.065625,75.00446428571429,68.52083333333333,80.41666666666667,80.41666666666667,1.0046815476190474,0.8553020833333334,1.0721875,0.8553020833333334,4.804761904761905,1.8947916666666669,7.690625000000001,7.690625000000001,0.0562499999999999,0.0562499999999999,0.0562499999999999,0.007,0.007,0.007
2023-24,2023,2024,16,23,5,February,2,2024,3,A,3,2024-02-17,2024-02-11,2024-02-17,7,17.0,2.4285714285714284,12.5,0.0,19.57098214285714,13.384375,31.113541666666663,13.384375,78.44642857142857,64.55208333333333,86.83333333333333,79.61458333333334,0.7465059523809522,0.6869375,0.8977604166666666,0.8977604166666666,7.140773809523808,3.8979166666666663,11.705208333333331,5.783333333333333,0.013000000000000001,0.011,0.001,3.3644999999999996,1.6415,0.7135
2023-24,2023,2024,17,24,5,February,2,2024,4,B,2,2024-02-24,2024-02-18,2024-02-24,7,26.25,3.75,14.0,1.75,16.914434523809522,6.635416666666667,32.89375,12.50625,73.30357142857143,65.78125,83.95833333333333,74.47916666666666,0.9247157738095239,0.8436250000000001,0.96490625,0.8436250000000001,6.885119047619048,4.122916666666667,10.135416666666668,7.401041666666667,0.027000000000000003,0.01,0.01,0.998,0.318,0.09725
2023-24,2023,2024,18,26,6,March,3,2024,1,C,1,2024-03-02,2024-02-25,2024-03-02,7,62.5,8.928571428571429,24.0,9.75,25.6889880952381,8.072916666666666,43.71666666666667,32.28645833333333,66.29613095238095,47.89583333333333,92.71875,69.27083333333334,0.5333601190476192,0.2492395833333333,0.83640625,0.2492395833333333,9.126041666666667,4.645833333333333,16.76875,7.358333333333333,0.46475,0.24825,0.143,1.1792499999999997,0.8405,0.007
2023-24,2023,2024,19,27,6,March,3,2024,2,C,1,2024-03-09,2024-03-03,2024-03-09,7,123.0,17.571428571428573,20.5,11.75,35.940625000000004,31.4,38.58541666666667,31.4,85.15327380952381,64.17708333333333,99.15625,64.77083333333334,0.055194940476190446,0.0,0.1804479166666666,0.0,6.293154761904761,3.8489583333333335,10.511458333333334,10.511458333333334,1.80975,0.985,0.0,0.19975,0.19975,0.19975
2023-24,2023,2024,20,28,6,March,3,2024,3,B,2,2024-03-16,2024-03-10,2024-03-16,7,79.5,11.357142857142858,18.5,14.0,31.05446428571429,22.673958333333335,37.36145833333334,33.58541666666667,77.47023809523809,58.23958333333333,93.86458333333334,85.22916666666667,0.43501488095238094,0.2515,0.611125,0.2515,7.198065476190477,3.7583333333333337,14.244791666666666,4.115625,0.46799999999999997,0.26825,0.039,12.216,7.42875,0.07575
2023-24,2023,2024,21,29,6,March,3,2024,4,A,3,2024-03-23,2024-03-17,2024-03-23,7,36.75,5.25,18.5,0.0,24.140922619047615,13.523958333333336,35.63854166666667,20.184375,70.8497023809524,53.71875,83.23958333333334,83.23958333333334,0.2810505952380952,0.1677395833333333,0.5628958333333334,0.5628958333333334,8.741964285714285,4.104166666666667,13.959375,4.104166666666667,0.11275,0.11175,0.0,14.017,9.74175,9.74175
2023-24,2023,2024,22,30,6,March,3,2024,5,B,2,2024-03-30,2024-03-24,2024-03-30,7,76.75,10.964285714285714,19.75,7.5,29.24717261904762,17.292708333333334,37.123958333333334,28.952083333333334,72.34226190476191,58.822916666666664,88.76041666666667,60.28125,0.7072157738095239,0.33934375,1.0692708333333334,0.33934375,7.293452380952381,4.030208333333333,13.834375,13.834375,0.2382499999999999,0.1875,0.0,0.71125,0.65525,0.056
2023-24,2023,2024,23,31,7,April,4,2024,1,B,2,2024-04-06,2024-03-31,2024-04-06,7,69.25,9.892857142857142,17.25,8.75,31.59985119047619,27.082291666666663,35.733333333333334,30.013541666666665,75.05505952380952,59.66666666666667,91.46875,85.97916666666667,0.4677931547619048,0.17234375,0.8894375,0.8894375,8.356696428571428,5.197916666666667,13.513541666666669,8.996875,0.064,0.023,0.004,12.258500000000002,9.12275,0.43125
2023-24,2023,2024,24,32,7,April,4,2024,2,C,1,2024-04-13,2024-04-07,2024-04-13,7,140.75,20.107142857142858,24.0,23.0,41.25654761904762,30.795833333333334,51.770833333333336,41.12291666666667,76.15922619047619,52.760416666666664,96.61458333333334,85.98958333333333,0.35944345238095243,0.0,0.8437708333333334,0.0,7.715476190476189,3.3114583333333334,13.955208333333331,9.978125,1.24725,0.746,0.18,0.36,0.2415,0.2415
2023-24,2023,2024,25,33,7,April,4,2024,3,C,1,2024-04-20,2024-04-14,2024-04-20,7,139.25,19.892857142857142,22.75,22.75,39.603125,36.864583333333336,43.369791666666664,43.369791666666664,76.125,62.291666666666664,86.85416666666667,72.97916666666667,0.0031919642857142854,0.0,0.01546875,0.0,6.969196428571428,3.5552083333333333,8.567708333333332,8.292708333333334,0.5127499999999999,0.216,0.07325,1.35775,1.32325,0.0345
2023-24,2023,2024,26,34,7,April,4,2024,4,D,0,2024-04-27,2024-04-21,2024-04-27,7,111.75,15.964285714285714,21.25,21.25,37.22217261904762,29.039583333333333,44.70625,44.70625,55.30357142857143,44.05208333333333,73.25,46.11458333333333,0.0,0.0,0.0,0.0,6.904315476190476,3.140625,8.864583333333332,5.058333333333334,0.17875000000000002,0.16875,0.0,0.242,0.1245,0.0
2023-24,2023,2024,27,36,8,May,5,2024,1,D,0,2024-05-04,2024-04-28,2024-05-04,7,165.25,23.607142857142858,24.0,24.0,49.51369047619047,45.876041666666666,52.48854166666666,52.48854166666666,81.53273809523809,72.5625,89.75,72.5625,0.0,0.0,0.0,0.0,5.3809523809523805,2.4770833333333333,7.135416666666667,6.064583333333333,1.4334999999999996,0.4267499999999999,0.005,0.0,0.0,0.0
2023-24,2023,2024,28,37,8,May,5,2024,2,D,0,2024-05-11,2024-05-05,2024-05-11,7,164.25,23.464285714285715,24.0,22.75,48.154017857142854,43.5375,52.91979166666667,46.47083333333333,77.14434523809523,60.229166666666664,94.08333333333331,70.42708333333333,0.0,0.0,0.0,0.0,5.983333333333333,3.661458333333333,9.814583333333331,4.157291666666667,1.209,0.47375,0.07875,0.0,0.0,0.0
2023-24,2023,2024,29,38,8,May,5,2024,3,D,0,2024-05-18,2024-05-12,2024-05-18,7,167.75,23.964285714285715,24.0,24.0,54.54122023809524,45.30104166666666,58.77291666666667,56.21145833333333,77.98809523809526,72.75,85.86458333333334,76.5,0.0,0.0,0.0,0.0,4.898809523809524,3.8010416666666664,7.014583333333333,5.3895833333333325,0.7182499999999998,0.20925,0.066,0.0,0.0,0.0
2023-24,2023,2024,30,39,8,May,5,2024,4,D,0,2024-05-25,2024-05-19,2024-05-25,7,168.0,24.0,24.0,24.0,61.96830357142857,54.26354166666666,68.65208333333334,54.26354166666666,69.67559523809523,55.666666666666664,80.21875,62.947916666666664,0.0,0.0,0.0,0.0,5.900744047619048,3.7395833333333335,10.009375,3.7395833333333335,0.3184999999999999,0.17,0.001,0.0,0.0,0.0
2022-23,2022,2023,1,8,2,November,11,2022,3,D,0,2022-11-19,2022-11-13,2022-11-19,7,37.5,5.357142857142857,21.75,1.25,26.49419642857143,20.961458333333333,39.123958333333334,21.878125,79.42113095238096,65.63541666666666,89.45833333333333,78.20833333333333,0.20125595238095237,0.0,0.42365625,0.42365625,6.800446428571429,3.246875,10.64375,6.637499999999999,0.0945,0.07075,0.0,6.97275,5.609,0.19325
2022-23,2022,2023,2,9,2,November,11,2022,4,D,0,2022-11-26,2022-11-20,2022-11-26,7,38.5,5.5,14.75,8.75,25.527529761904763,14.683333333333334,32.928125,30.348958333333332,75.52232142857143,63.854166666666664,87.08333333333334,80.51041666666666,0.40246428571428566,0.3390520833333333,0.4265,0.3390520833333333,7.698363095238095,3.685416666666667,9.980208333333334,9.980208333333334,0.1215,0.1215,0.0,1.14375,0.423,0.26275
2022-23,2022,2023,3,11,3,December,12,2022,1,D,0,2022-12-03,2022-11-27,2022-12-03,7,72.5,10.357142857142858,20.0,15.25,30.817261904761903,25.867708333333333,37.47604166666667,34.76979166666667,76.89136904761905,60.11458333333333,95.26041666666666,80.85416666666666,0.19993154761904758,0.13865625,0.2989375,0.13865625,8.785863095238096,3.7552083333333335,13.689583333333337,11.416666666666668,1.4915,0.515,0.291,0.94075,0.43575,0.08975
